date,confirm,suspect,dead,heal
2020-01-13 00:00:00,41,0,1,0
2020-01-14 00:00:00,41,0,1,0
2020-01-15 00:00:00,41,0,2,5
2020-01-16 00:00:00,45,0,2,8
2020-01-17 00:00:00,62,0,2,12
2020-01-18 00:00:00,198,0,3,17
2020-01-19 00:00:00,275,0,4,18
2020-01-20 00:00:00,291,54,6,25
2020-01-21 00:00:00,440,37,9,25
2020-01-22 00:00:00,574,393,17,25
2020-01-23 00:00:00,835,1072,25,34
2020-01-24 00:00:00,1297,1965,41,38
2020-01-25 00:00:00,1985,2684,56,49
2020-01-26 00:00:00,2761,5794,80,51
2020-01-27 00:00:00,4535,6973,106,60
2020-01-28 00:00:00,5997,9239,132,103
2020-01-29 00:00:00,7736,12167,170,124
2020-01-30 00:00:00,9720,15238,213,171
2020-01-31 00:00:00,11821,17988,259,243
2020-02-01 00:00:00,14411,19544,304,328
2020-02-02 00:00:00,17238,21558,361,475
2020-02-03 00:00:00,20471,23214,425,632
2020-02-04 00:00:00,24363,23260,491,892
2020-02-05 00:00:00,28060,24702,564,1153
2020-02-06 00:00:00,31211,26359,637,1542
2020-02-07 00:00:00,34598,27657,723,2052
2020-02-08 00:00:00,37251,28942,812,2651
2020-02-09 00:00:00,40235,23589,909,3283
2020-02-10 00:00:00,42708,21675,1017,3998
2020-02-11 00:00:00,44730,16067,1114,4742
2020-02-12 00:00:00,59882,13435,1368,5915
2020-02-13 00:00:00,63932,10109,1381,6728
2020-02-14 00:00:00,66576,8969,1524,8101
2020-02-15 00:00:00,68584,8228,1666,9425
2020-02-16 00:00:00,70635,7264,1772,10853
2020-02-17 00:00:00,72528,6242,1870,12561
2020-02-18 00:00:00,74279,5248,2006,14387
2020-02-19 00:00:00,75002,4922,2121,16157
2020-02-20 00:00:00,75993,5206,2239,18266
2020-02-21 00:00:00,76392,5365,2348,20673
2020-02-22 00:00:00,77041,4148,2445,22907
2020-02-23 00:00:00,77262,3434,2595,24757
2020-02-24 00:00:00,77779,2824,2666,27353
2020-02-25 00:00:00,78190,2491,2718,29775
2020-02-26 00:00:00,78630,2358,2747,32531
2020-02-27 00:00:00,78959,2308,2791,36157
2020-02-28 00:00:00,79389,1418,2838,39049
2020-02-29 00:00:00,79968,851,2873,41675
2020-03-01 00:00:00,80174,715,2915,44518
2020-03-02 00:00:00,80302,587,2946,47260
2020-03-03 00:00:00,80422,520,2984,49914
